ID	Especie	Tiempo	Mass_loss_P
442	Astelia	2	10
2747	Astelia	2	11
2626	Astelia	2	10
484	Astelia	2	11
486	Astelia	2	13
352	Astelia	2	12
58	Donatia	2	0.131
665	Donatia	2	2
634	Donatia	2	2
1241	Donatia	2	3
340	Donatia	2	2
31	Tetroncium	2	3
769	Tetroncium	2	-1
404	Tetroncium	2	4
2733	Tetroncium	2	5
503	Tetroncium	2	3
169	Tetroncium	2	3
2519	Tetroncium	2	-7
2530	Tetroncium	2	9
515	Tetroncium	2	5
414	Tetroncium	2	4
124	Tetroncium	2	7
163	Tetroncium	2	6
253	Tetroncium	2	-2
711	Tetroncium	2	-3
2642	Tetroncium	2	-1
12	Tetroncium	2	5
1196	Tetroncium	2	6
603	Tetroncium	2	8
182	Tetroncium	2	-0.022136286
257	Tetroncium	2	0.007322789
2664	Tetroncium	2	7
413	Tetroncium	2	4
147	Tetroncium	2	5
619	Tetroncium	2	5
199	Sphagnum	2	13
26	Sphagnum	2	14
38	Sphagnum	2	9
151	Sphagnum	2	14
91	Sphagnum	2	11
180	Sphagnum	2	14
2562	Astelia	1	2
247	Astelia	1	0.009586747
1197	Astelia	1	2
460	Astelia	1	3
2670	Astelia	1	0.998848602
2759	Astelia	1	0.79832432
737	Donatia	1	3
464	Donatia	1	0.781
232	Donatia	1	0.197
201	Donatia	1	0.552
159	Donatia	1	0.149
1164	Donatia	1	5
204	Donatia	1	2
22643	Donatia	1	0.877
2551	Donatia	1	1
258	Tetroncium	1	0.821009236
662	Tetroncium	1	-0.138099377
510	Tetroncium	1	1
1231	Tetroncium	1	-7
233	Tetroncium	1	-0.520807442
477	Tetroncium	1	-0.1617199
2589	Tetroncium	1	0.685442248
497	Tetroncium	1	2
104	Tetroncium	1	0.977866415
358	Tetroncium	1	-2
2715	Tetroncium	1	4
726	Tetroncium	1	-6
456	Tetroncium	1	2
158	Tetroncium	1	0.499235858
30	Tetroncium	1	4
231	Tetroncium	1	2
1111	Tetroncium	1	3
801	Tetroncium	1	-4
437	Tetroncium	1	3
2528	Tetroncium	1	2
40	Tetroncium	1	4
108	Tetroncium	1	1
601	Tetroncium	1	-2
223	Tetroncium	1	2
312	Tetroncium	1	3
27	Tetroncium	1	-2
367	Tetroncium	1	2
148	Sphagnum	1	-2
2573	Sphagnum	1	-6
74	Sphagnum	1	-3
128	Sphagnum	1	0.919825899
268	Sphagnum	1	-1
295	Sphagnum	1	4
2585	Astelia	0	0
277	Astelia	0	0
2521	Astelia	0	0
607	Astelia	0	0
475	Astelia	0	0
2704	Astelia	0	0
669	Donatia	0	0
183	Donatia	0	0
1207	Donatia	0	0
2753	Tetroncium	0	0
428	Tetroncium	0	0
555	Tetroncium	0	0
402	Tetroncium	0	0
276	Tetroncium	0	0
2674	Tetroncium	0	0
157	Sphagnum	0	0
105	Sphagnum	0	0
578	Sphagnum	0	0
381	Sphagnum	0	0
11	Sphagnum	0	0
2555	Sphagnum	0	0
